town_code,tariff_hub,ops_branch,town_name,province,town_type,town_type_abbr,remote_km,servicing_town,service_code,location,sla_facility,zone
ROS,GRJ,GRJ,ROSEDENE,Western Cape,Outlying,O,96,BFU,OR,LOC,Outlying Adhoc,7
RDL,BFN,BEM,ROSENDAL,Free State,Outlying,O,80,SEN,OR,LOC,Outlying Bi-weekly,2
RTT,PZB,DUR,ROSETTA,KwaZulu-Natal,Outlying,O,25,MRR,OR,LOC,Outlying Adhoc,4
RSW,ELS,BFN,ROSSOUW,Eastern Cape,Outlying,O,174,QQD,OR,LOC,Outlying Adhoc,8
ROV,KPR,KPR,ROSTRATAVILLE,North West,Outlying,O,51,DLV,OR,LOC,Outlying Adhoc,4
RHM,ELS,ELS,ROTHMERE,Eastern Cape,Outlying,O,165,UTT,OR,LOC,Outlying Adhoc,3
RXP,GRJ,CPT,ROUXPOS,Western Cape,Outlying,O,153,LAI,OR,LOC,Outlying Adhoc,8
RXL,BFN,BFN,ROUXVILLE,Free State,Outlying,O,70,AWL,OR,LOC,Outlying Bi-weekly,5
RUB,GRJ,GRJ,RUITERSBOS,Western Cape,Outlying,O,56,GBR,OR,LOC,Outlying Adhoc,2
NDU,WDH,WDH,RUNDU,NULL,Outlying,O,500,OTI,OR,BLNS,Outlying Adhoc,10
RUS,CPT,CPT,RUST,Western Cape,Outlying,O,31,MRB,OR,LOC,Outlying Adhoc,4
RDW,PTA,JNB,RUST DE WINTER,Limpopo,Outlying,O,90,HKR,OR,LOC,Outlying Bi-weekly,4
RTR,PTA,RTR,RUSTENBURG,North West,Regional,R,NULL,PTA,RM,LOC,Regional Daily,1
RSG,KPR,KPR,RUSTIG,Free State,Outlying,O,67,KRO,OR,LOC,Outlying Adhoc,4
RVB,KPR,RTR,RUSVERBY,North West,Outlying,O,143,RTR,OR,LOC,Outlying Adhoc,3
SAB,NLP,NLP,SABIE,Mpumalanga,Regional,R,NULL,NLP,RM,LOC,Regional Daily,2
SAD,ELS,ELS,SADA,Eastern Cape,Outlying,O,80,QTN,OR,LOC,Outlying Adhoc,5
SLD,CPT,VDR,SALDANHA,Western Cape,Regional,R,NULL,CPT,RM,LOC,Regional Daily,1
SPT,KIM,KIM,SALPETERPAN,North West,Outlying,O,113,VRU,OR,LOC,Outlying Adhoc,5
SLT,KIM,KIM,SALT LAKE,Northern Cape,Outlying,O,74,DLS,OR,LOC,Outlying Adhoc,4
SAL,EMG,EMG,SALVATION,KwaZulu-Natal,Outlying,O,76,NON,OR,LOC,Outlying Adhoc,5
SGR,CPT,VDR,SANDBERG,Western Cape,Outlying,O,95,CWM,OR,LOC,Outlying Bi-weekly,4
SAN,JNB,JNB,SANDTON,Gauteng,Main (Suburb),S,NULL,JNB,SM,LOC,Hub,1
SDV,PLZ,PLZ,SANDVLAKTE,Eastern Cape,Outlying,O,202,PTI,OR,LOC,Outlying Adhoc,6
SAH,KPR,KPR,SANNIESHOF,North West,Outlying,O,82,DLV,OR,LOC,Outlying Bi-weekly,4
SRN,CPT,VDR,SARON,NULL,Outlying,O,90,PQB,OR,LOC,Outlying Adhoc,4
CRL,PTG,PTG,SASELEMANI,Limpopo,Outlying,O,125,BOC,OR,LOC,Outlying Bi-weekly,6
SBG,VDB,JNB,SASOLBURG,Free State,Main (Suburb),S,NULL,VDB,SM,LOC,Branch,4
SCN,NCS,NCS,SCHEEPERSNEK,KwaZulu-Natal,Outlying,O,25,VYD,OR,LOC,Outlying Adhoc,4
SCH,KIM,KIM,SCHMIDTSDRIF,Northern Cape,Outlying,O,101,DLS,OR,LOC,Outlying Adhoc,3
SMH,GRJ,GRJ,SCHOEMANSHOEK,Western Cape,Outlying,O,28,OUH,OR,LOC,Outlying Adhoc,3
SRK,KPR,KPR,SCHWEIZER-RENEKE,North West,Regional,R,NULL,KPR,RM,LOC,Regional Daily,5
SOG,DUR,DUR,SCOTTBURGH,KwaZulu-Natal,Regional,R,NULL,DUR,RM,LOC,Regional Daily,3
SBK,VDB,JNB,SEBOKENG,Gauteng,Main (Suburb),S,NULL,VDB,SM,LOC,Branch,3
SEC,WIR,WIR,SECUNDA,Mpumalanga,Regional,R,NULL,WIR,RM,LOC,Regional Daily,3
SED,CPT,CPT,SEDERBERG,Western Cape,Outlying,O,114,CWM,OR,LOC,Outlying Adhoc,7
SGF,GRJ,GRJ,SEDGEFIELD,Western Cape,Regional,R,NULL,GRJ,RM,LOC,Regional Daily,2
SKG,GRJ,GRJ,SEEKOEGAT,Western Cape,Outlying,O,165,BFU,OR,LOC,Outlying Adhoc,4
SHV,KIM,KIM,SEKHING,North West,Outlying,O,52,HWA,OR,LOC,Outlying Adhoc,4
SPE,GBE,GBE,SELIBI PHIKWE,NULL,Outlying,O,200,FRW,OR,BLNS,Outlying Adhoc,10
SER,WIR,WIR,SELONSRIVIER,Mpumalanga,Outlying,O,54,DLR,OR,LOC,Outlying Adhoc,2
SLS,BFN,BFN,SELOSESHA,Free State,Outlying,O,5,TCR,OR,LOC,Outlying Adhoc,3
SEK,MSU,MSU,SEMONKONG,NULL,Regional,R,NULL,MSU,RM,BLNS,Regional Daily,10
SDG,KPR,KPR,SENDELINGSFONTEIN,North West,Outlying,O,62,OTD,OR,LOC,Outlying Adhoc,2
SEG,PTG,PTG,SENDING,Limpopo,Outlying,O,70,BOC,OR,LOC,Outlying Adhoc,3
SEN,BFN,BEM,SENEKAL,Free State,Regional,R,NULL,BFN,RM,LOC,Regional Daily,3
SNM,PTA,RTR,SENTRUM,Limpopo,Outlying,O,85,TZB,OR,LOC,Outlying Adhoc,5
SDL,KIM,KIM,SEODING,North West,Outlying,O,18,KUR,OR,LOC,Outlying Adhoc,4
SRE,GBE,GBE,SEROWE,NULL,Outlying,O,314,FRW,OR,BLNS,Outlying Adhoc,10
SGE,KPR,KPR,SETLAGOLE,North West,Outlying,O,119,DLV,OR,LOC,Outlying Adhoc,6
SOO,KPR,KPR,SETLOPO,North West,Outlying,O,19,MEI,OR,LOC,Outlying Adhoc,5
SET,PTA,JNB,SETTLERS,Limpopo,Outlying,O,59,WSR,OR,LOC,Outlying Bi-weekly,4
SHA,DUR,DUR,SHAKASKRAAL,KwaZulu-Natal,Regional,R,NULL,DUR,RM,LOC,Regional Bi-weekly,3
SHL,KIM,KIM,SHALENG,North West,Outlying,O,121,JKP,OR,LOC,Outlying Adhoc,4
SHR,NCS,WIR,SHEEPMOOR,Mpumalanga,Outlying,O,87,EML,OR,LOC,Outlying Adhoc,5
SYB,DUR,PSH,SHELLY BEACH,KwaZulu-Natal,Regional,R,NULL,DUR,RM,LOC,Regional Daily,1
SHE,BFN,CDO,SHERBORNE,Eastern Cape,Outlying,O,232,CDO,OR,LOC,Outlying Adhoc,4
